manager_id,name,wikidata_id,commons_file,image_url,thumb_url,local_path,page_url,license,artist,credit,source_id,retrieved_at
ah-albut,A. H. Albut,Q278693,AHAlbut.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/AHAlbut.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/AHAlbut.jpg,/media/managers/ah-albut.webp,https://commons.wikimedia.org/wiki/File:AHAlbut.jpg,Public domain,"неизвестен, unknown",http://www.mufcinfo.com/manupag/managers/mangers_pages/albut_alf.html,wikidata-commons,2026-07-03T00:30:07.917Z
darren-fletcher,Darren Fletcher,Q172792,Darren Fletcher vs Everton (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Darren_Fletcher_vs_Everton_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Darren_Fletcher_vs_Everton_%28cropped%29.jpg/330px-Darren_Fletcher_vs_Everton_%28cropped%29.jpg,/media/managers/darren-fletcher.webp,https://commons.wikimedia.org/wiki/File:Darren_Fletcher_vs_Everton_(cropped).jpg,CC BY 2.0,Gordon Flood,originally posted to Flickr as Man Utd V Everton-29,wikidata-commons,2026-07-03T00:30:07.917Z
dave-sexton,Dave Sexton,Q735094,Dave Sexton.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/Dave_Sexton.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Dave_Sexton.jpg/330px-Dave_Sexton.jpg,/media/managers/dave-sexton.webp,https://commons.wikimedia.org/wiki/File:Dave_Sexton.jpg,CC BY-SA 4.0,Unua.genius,Own work,wikidata-commons,2026-07-03T00:30:07.917Z
david-moyes,David Moyes,Q297252,David Moyes MUFC 2013.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/David_Moyes_MUFC_2013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/David_Moyes_MUFC_2013.jpg/330px-David_Moyes_MUFC_2013.jpg,/media/managers/david-moyes.webp,https://commons.wikimedia.org/wiki/File:David_Moyes_MUFC_2013.jpg,CC BY-SA 2.0,"Jon Candy from Cardiff, Wales",DSC05469 Uploaded by Dudek1337,wikidata-commons,2026-07-03T00:30:07.917Z
erik-ten-hag,Erik ten Hag,Q2844569,Открытая тренировка «Аякса» перед матчем с «Динамо». 27 августа 2018 года — 900304 (Erik ten Hag).jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B0%D1%8F_%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%C2%AB%D0%90%D1%8F%D0%BA%D1%81%D0%B0%C2%BB_%D0%BF%D0%B5%D1%80%D0%B5%D0%B4_%D0%BC%D0%B0%D1%82%D1%87%D0%B5%D0%BC_%D1%81_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB._27_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_2018_%D0%B3%D0%BE%D0%B4%D0%B0_%E2%80%94_900304_%28Erik_ten_Hag%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B0%D1%8F_%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%C2%AB%D0%90%D1%8F%D0%BA%D1%81%D0%B0%C2%BB_%D0%BF%D0%B5%D1%80%D0%B5%D0%B4_%D0%BC%D0%B0%D1%82%D1%87%D0%B5%D0%BC_%D1%81_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB._27_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_2018_%D0%B3%D0%BE%D0%B4%D0%B0_%E2%80%94_900304_%28Erik_ten_Hag%29.jpg/330px-%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B0%D1%8F_%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%C2%AB%D0%90%D1%8F%D0%BA%D1%81%D0%B0%C2%BB_%D0%BF%D0%B5%D1%80%D0%B5%D0%B4_%D0%BC%D0%B0%D1%82%D1%87%D0%B5%D0%BC_%D1%81_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB._27_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_2018_%D0%B3%D0%BE%D0%B4%D0%B0_%E2%80%94_900304_%28Erik_ten_Hag%29.jpg,/media/managers/erik-ten-hag.webp,https://commons.wikimedia.org/wiki/File:%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B0%D1%8F_%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%C2%AB%D0%90%D1%8F%D0%BA%D1%81%D0%B0%C2%BB_%D0%BF%D0%B5%D1%80%D0%B5%D0%B4_%D0%BC%D0%B0%D1%82%D1%87%D0%B5%D0%BC_%D1%81_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB._27_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_2018_%D0%B3%D0%BE%D0%B4%D0%B0_%E2%80%94_900304_(Erik_ten_Hag).jpg,CC BY-SA 4.0,Olga Shcherbytska,https://www.dynamomania.com/album/1842-otkrytaya-trenirovka-ayaksa-pered-matchem-s-dinamo-27-avgusta-2018-goda/900304,wikidata-commons,2026-07-03T00:30:07.917Z
ernest-mangnall,Ernest Mangnall,Q706085,Ernest Mangnall.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Ernest_Mangnall.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Ernest_Mangnall.jpg,/media/managers/ernest-mangnall.webp,https://commons.wikimedia.org/wiki/File:Ernest_Mangnall.jpg,Public domain,Unknown author Unknown author,http://www.pmagnall.demon.co.uk/fm152.htm,wikidata-commons,2026-07-03T00:30:07.917Z
jack-robson,Jack Robson,Q1677196,Robson John.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Robson_John.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Robson_John.jpg,/media/managers/jack-robson.webp,https://commons.wikimedia.org/wiki/File:Robson_John.jpg,Public domain,Unknown author Unknown author,http://www.mufcinfo.com/manupag/managers/mangers_pages/robson_john.html,wikidata-commons,2026-07-03T00:30:07.917Z
james-west,James West,,James West.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/James_West.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/James_West.jpg,/media/managers/james-west.webp,https://commons.wikimedia.org/wiki/File:James_West.jpg,Public domain,Unknown author Unknown author,https://www.mufcinfo.com/manupag/managers/mangers_pages/west_james.html,wikidata-commons,2026-07-03T00:30:07.917Z
john-bentley,John Bentley,Q1380430,JJBentley.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/JJBentley.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/JJBentley.jpg,/media/managers/john-bentley.webp,https://commons.wikimedia.org/wiki/File:JJBentley.jpg,Public domain,Unknown author Unknown author,http://www.darwenfc.com/dcalvy/jbentley.htm,wikidata-commons,2026-07-03T00:30:07.917Z
jose-mourinho,José Mourinho,Q79983,José Mourinho (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Jos%C3%A9_Mourinho_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Jos%C3%A9_Mourinho_%28cropped%29.jpg/330px-Jos%C3%A9_Mourinho_%28cropped%29.jpg,/media/managers/jose-mourinho.webp,https://commons.wikimedia.org/wiki/File:Jos%C3%A9_Mourinho_(cropped).jpg,CC BY-SA 3.0,Дмитрий Голубович,https://www.soccer0010.com/galery/1013397/photo/673146,wikidata-commons,2026-07-03T00:30:07.917Z
