name,wikidata_id,commons_file,image_url,thumb_url,local_path,page_url,license,artist,credit,source_id,retrieved_at
Abou Diaby,Q1943,Abou Diaby Arsenal vs Birmingham 2010-11.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Abou_Diaby_Arsenal_vs_Birmingham_2010-11.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Abou_Diaby_Arsenal_vs_Birmingham_2010-11.jpg/330px-Abou_Diaby_Arsenal_vs_Birmingham_2010-11.jpg,/media/own-goal-scorers/abou-diaby.webp,https://commons.wikimedia.org/wiki/File:Abou_Diaby_Arsenal_vs_Birmingham_2010-11.jpg,CC BY 2.0,Ronnie Macdonald,originally posted to Flickr as Abou Diaby,wikidata-commons,2026-06-16T13:24:01.971Z
Alex Sandro,Q551192,"FC Zenit Saint Petersburg vs. Juventus, 20 October 2021 28 - Alex Sandro (cropped2).jpg",https://upload.wikimedia.org/wikipedia/commons/0/0d/FC_Zenit_Saint_Petersburg_vs._Juventus%2C_20_October_2021_28_-_Alex_Sandro_%28cropped2%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/FC_Zenit_Saint_Petersburg_vs._Juventus%2C_20_October_2021_28_-_Alex_Sandro_%28cropped2%29.jpg/330px-FC_Zenit_Saint_Petersburg_vs._Juventus%2C_20_October_2021_28_-_Alex_Sandro_%28cropped2%29.jpg,/media/own-goal-scorers/alex-sandro.webp,"https://commons.wikimedia.org/wiki/File:FC_Zenit_Saint_Petersburg_vs._Juventus,_20_October_2021_28_-_Alex_Sandro_(cropped2).jpg",CC BY-SA 3.0,Kirill Venediktov,https://www.soccer.ru/galery/1287369/photo/932403,wikidata-commons,2026-06-16T13:24:01.971Z
Alexis Mac Allister,Q33297140,Alexis Mac Allister WC 2022.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Alexis_Mac_Allister_WC_2022.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Alexis_Mac_Allister_WC_2022.jpg/330px-Alexis_Mac_Allister_WC_2022.jpg,/media/own-goal-scorers/alexis-mac-allister.webp,https://commons.wikimedia.org/wiki/File:Alexis_Mac_Allister_WC_2022.jpg,CC BY 4.0,Hossein Zohrevand,https://www.tasnimnews.ir/en/media/2022/11/27/2812741/qatar-world-cup-argentina-beats-mexico-2-0,wikidata-commons,2026-06-16T13:24:01.971Z
Alf Ramsey,Q311029,Alf Ramsey (1969).jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Alf_Ramsey_%281969%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Alf_Ramsey_%281969%29.jpg/330px-Alf_Ramsey_%281969%29.jpg,/media/own-goal-scorers/alf-ramsey.webp,https://commons.wikimedia.org/wiki/File:Alf_Ramsey_(1969).jpg,CC BY-SA 3.0 nl,Bert Verhoeff for Anefo,Nationaal Archief Fotocollectie Anefo (cropped),wikidata-commons,2026-06-16T13:24:01.971Z
Alpay Özalan,Q435749,Alpay.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Alpay.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Alpay.jpg,/media/own-goal-scorers/alpay-ozalan.webp,https://commons.wikimedia.org/wiki/File:Alpay.jpg,CC BY-SA 3.0,F. Höhn,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Andy Dawson,Q179024,Andy Dawson 1.png,https://upload.wikimedia.org/wikipedia/commons/5/51/Andy_Dawson_1.png,https://upload.wikimedia.org/wikipedia/commons/5/51/Andy_Dawson_1.png,/media/own-goal-scorers/andy-dawson.webp,https://commons.wikimedia.org/wiki/File:Andy_Dawson_1.png,CC BY-SA 2.0,https://www.flickr.com/photos/markjhealey/,https://www.flickr.com/photos/markjhealey/5940126740/,wikidata-commons,2026-06-16T13:24:01.971Z
Anthony Vanden Borre,Q363303,Anthony Vanden Borre.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Anthony_Vanden_Borre.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Anthony_Vanden_Borre.jpg/330px-Anthony_Vanden_Borre.jpg,/media/own-goal-scorers/anthony-vanden-borre.webp,https://commons.wikimedia.org/wiki/File:Anthony_Vanden_Borre.jpg,CC BY-SA 3.0,Roberto Vicario,Fiorentina- Elfsborg 069 (derivate work) from Toscanafotonotizie.it,wikidata-commons,2026-06-16T13:24:01.971Z
Anton Ferdinand,Q298330,Anton Ferdinand (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/Anton_Ferdinand_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Anton_Ferdinand_%28cropped%29.jpg/330px-Anton_Ferdinand_%28cropped%29.jpg,/media/own-goal-scorers/anton-ferdinand.webp,https://commons.wikimedia.org/wiki/File:Anton_Ferdinand_(cropped).jpg,CC BY-SA 2.0,"vagueonthehow from Tadcaster, York, England",YCFC vs SAFC,wikidata-commons,2026-06-16T13:24:01.971Z
Ben Mee,Q3637942,Ben Mee (24440984920) (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Ben_Mee_%2824440984920%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Ben_Mee_%2824440984920%29_%28cropped%29.jpg/330px-Ben_Mee_%2824440984920%29_%28cropped%29.jpg,/media/own-goal-scorers/ben-mee.webp,https://commons.wikimedia.org/wiki/File:Ben_Mee_(24440984920)_(cropped).jpg,CC BY 2.0,joshjdss,Arsenal Vs Burnley,wikidata-commons,2026-06-16T13:24:01.971Z
Brede Hangeland,Q310705,2012-08 Hangeland.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/2012-08_Hangeland.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/2012-08_Hangeland.jpg/330px-2012-08_Hangeland.jpg,/media/own-goal-scorers/brede-hangeland.webp,https://commons.wikimedia.org/wiki/File:2012-08_Hangeland.jpg,CC BY-SA 3.0,Chell Hill,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
