player_id,name,wikidata_id,commons_file,image_url,thumb_url,local_path,page_url,license,artist,credit,source_id,retrieved_at
aaron-wan-bissaka,Aaron Wan-Bissaka,Q50137347,Aaron Wan Bissaka 2019.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Aaron_Wan_Bissaka_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Aaron_Wan_Bissaka_2019.jpg/330px-Aaron_Wan_Bissaka_2019.jpg,/media/players/aaron-wan-bissaka.webp,https://commons.wikimedia.org/wiki/File:Aaron_Wan_Bissaka_2019.jpg,CC BY-SA 2.0,"@cfcunofficial (Chelsea Debs) London from London, UK",Chelsea 1 Man Utd 2,wikidata-commons,2026-07-03T00:30:03.115Z
alan-smith,Alan Smith,Q216614,Rsz Alansmith 20040727.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Rsz_Alansmith_20040727.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Rsz_Alansmith_20040727.jpg,/media/players/alan-smith.webp,https://commons.wikimedia.org/wiki/File:Rsz_Alansmith_20040727.jpg,CC BY-SA 2.0,Toni Marsh,"Cropped from https://www.flickr.com/photos/tiggy818/20285850/ Date uploaded to Flickr: June 19, 2005",wikidata-commons,2026-07-03T00:30:03.115Z
alejandro-garnacho,Alejandro Garnacho,Q111366053,Alejandro Garnacho 7 August 2022 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Alejandro_Garnacho_7_August_2022_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Alejandro_Garnacho_7_August_2022_%28cropped%29.jpg/330px-Alejandro_Garnacho_7_August_2022_%28cropped%29.jpg,/media/players/alejandro-garnacho.webp,https://commons.wikimedia.org/wiki/File:Alejandro_Garnacho_7_August_2022_(cropped).jpg,CC BY-SA 4.0,Ardfern,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
alex-bell,Alex Bell,Q3439401,Manchester United 1908-09 (Bell).jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Manchester_United_1908-09_%28Bell%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Manchester_United_1908-09_%28Bell%29.jpg,/media/players/alex-bell.webp,https://commons.wikimedia.org/wiki/File:Manchester_United_1908-09_(Bell).jpg,Public domain,Unknown author Unknown author,Here,wikidata-commons,2026-07-03T00:30:03.115Z
alex-stepney,Alex Stepney,Q380205,Alex Stepney.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Alex_Stepney.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Alex_Stepney.jpg/330px-Alex_Stepney.jpg,/media/players/alex-stepney.webp,https://commons.wikimedia.org/wiki/File:Alex_Stepney.jpg,CC BY-SA 3.0,Christophe95,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
amad-diallo,Amad Diallo,Q72603655,Amad Diallo Cote D'Ivoire v Ecuador 14 June 2026-256 (cropped 2).jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Amad_Diallo_Cote_D%27Ivoire_v_Ecuador_14_June_2026-256_%28cropped_2%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Amad_Diallo_Cote_D%27Ivoire_v_Ecuador_14_June_2026-256_%28cropped_2%29.jpg/330px-Amad_Diallo_Cote_D%27Ivoire_v_Ecuador_14_June_2026-256_%28cropped_2%29.jpg,/media/players/amad-diallo.webp,https://commons.wikimedia.org/wiki/File:Amad_Diallo_Cote_D%27Ivoire_v_Ecuador_14_June_2026-256_(cropped_2).jpg,CC BY-SA 4.0,Bryan Berlin,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
ander-herrera,Ander Herrera,Q1639968,2019-07-17 SG Dynamo Dresden vs. Paris Saint-Germain by Sandro Halank–282 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93282_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93282_%28cropped%29.jpg/330px-2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93282_%28cropped%29.jpg,/media/players/ander-herrera.webp,https://commons.wikimedia.org/wiki/File:2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93282_(cropped).jpg,CC BY-SA 4.0,"Sandro Halank , Wikimedia Commons",Self-photographed,wikidata-commons,2026-07-03T00:30:03.115Z
anderson,Anderson,Q484772,Anderson 2013.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Anderson_2013.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Anderson_2013.jpg,/media/players/anderson.webp,https://commons.wikimedia.org/wiki/File:Anderson_2013.jpg,CC BY 2.0,Doha Stadium Plus Qatar,https://www.flickr.com/photos/dohastadiumplusqatar/8402079732/,wikidata-commons,2026-07-03T00:30:03.115Z
andrei-kanchelskis,Andrei Kanchelskis,Q312148,Kanchelskis Andrei.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Kanchelskis_Andrei.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Kanchelskis_Andrei.jpg,/media/players/andrei-kanchelskis.webp,https://commons.wikimedia.org/wiki/File:Kanchelskis_Andrei.jpg,Public domain,,Self-photographed,wikidata-commons,2026-07-03T00:30:03.115Z
andre-onana,André Onana,Q19116103,André Onana.jpg,https://upload.wikimedia.org/wikipedia/commons/6/67/Andr%C3%A9_Onana.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Andr%C3%A9_Onana.jpg/330px-Andr%C3%A9_Onana.jpg,/media/players/andre-onana.webp,https://commons.wikimedia.org/wiki/File:Andr%C3%A9_Onana.jpg,CC BY-SA 4.0,Franco237,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
andy-cole,Andy Cole,Q216928,Andy Cole (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/Andy_Cole_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Andy_Cole_%28cropped%29.jpg/330px-Andy_Cole_%28cropped%29.jpg,/media/players/andy-cole.webp,https://commons.wikimedia.org/wiki/File:Andy_Cole_(cropped).jpg,CC BY-SA 2.0,"Norio Nakayama from saitama, japan",AEROFLOT ManchesterUnited TrophyTour,wikidata-commons,2026-07-03T00:30:03.115Z
anthony-martial,Anthony Martial,Q2091463,Anthony Martial 27 September 2017 cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Anthony_Martial_27_September_2017_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Anthony_Martial_27_September_2017_cropped.jpg/330px-Anthony_Martial_27_September_2017_cropped.jpg,/media/players/anthony-martial.webp,https://commons.wikimedia.org/wiki/File:Anthony_Martial_27_September_2017_cropped.jpg,CC BY-SA 3.0,Дмитрий Голубович,https://www.soccer0010.com/galery/1013619/photo/673742,wikidata-commons,2026-07-03T00:30:03.115Z
antonio-valencia,Antonio Valencia,Q174486,Antonio Valencia cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/Antonio_Valencia_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Antonio_Valencia_cropped.jpg/330px-Antonio_Valencia_cropped.jpg,/media/players/antonio-valencia.webp,https://commons.wikimedia.org/wiki/File:Antonio_Valencia_cropped.jpg,CC BY-SA 1.0,Julia Novikova for Soccer.ru,cropped from Soccer.ru photo,wikidata-commons,2026-07-03T00:30:03.115Z
antony,Antony,Q59205608,Antony - Betis - Partido Betis vs Valencia.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b5/Antony_-_Betis_-_Partido_Betis_vs_Valencia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Antony_-_Betis_-_Partido_Betis_vs_Valencia.jpg/330px-Antony_-_Betis_-_Partido_Betis_vs_Valencia.jpg,/media/players/antony.webp,https://commons.wikimedia.org/wiki/File:Antony_-_Betis_-_Partido_Betis_vs_Valencia.jpg,CC BY-SA 4.0,FotosLaLiga,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
arthur-albiston,Arthur Albiston,Q462137,"Albiston, Arthur.jpg",https://upload.wikimedia.org/wikipedia/commons/e/eb/Albiston%2C_Arthur.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Albiston%2C_Arthur.jpg,/media/players/arthur-albiston.webp,"https://commons.wikimedia.org/wiki/File:Albiston,_Arthur.jpg",CC BY-SA 3.0,Stew jones,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
ashley-young,Ashley Young,Q10602,Ashley Young 2018-06-13 1.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ashley_Young_2018-06-13_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ashley_Young_2018-06-13_1.jpg/330px-Ashley_Young_2018-06-13_1.jpg,/media/players/ashley-young.webp,https://commons.wikimedia.org/wiki/File:Ashley_Young_2018-06-13_1.jpg,CC BY-SA 3.0,Кирилл Венедиктов,https://www.soccer.ru/galery/1053441/photo/729781,wikidata-commons,2026-07-03T00:30:03.115Z
bill-foulkes,Bill Foulkes,Q462111,"Bill Foulkes, NASL 1975 media guide page 12.png",https://upload.wikimedia.org/wikipedia/commons/6/64/Bill_Foulkes%2C_NASL_1975_media_guide_page_12.png,https://upload.wikimedia.org/wikipedia/commons/6/64/Bill_Foulkes%2C_NASL_1975_media_guide_page_12.png,/media/players/bill-foulkes.webp,"https://commons.wikimedia.org/wiki/File:Bill_Foulkes,_NASL_1975_media_guide_page_12.png",Public domain,North American Soccer League,North American Soccer League 1975 media guide via SportsArchive,wikidata-commons,2026-07-03T00:30:03.115Z
billy-meredith,Billy Meredith,Q444611,Billy meredith city.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8b/Billy_meredith_city.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Billy_meredith_city.jpg/330px-Billy_meredith_city.jpg,/media/players/billy-meredith.webp,https://commons.wikimedia.org/wiki/File:Billy_meredith_city.jpg,Public domain,Stevo1000,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
bobby-charlton,Bobby Charlton,Q171583,Bobby Charlton en 1966 160.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Bobby_Charlton_en_1966_160.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Bobby_Charlton_en_1966_160.jpg/330px-Bobby_Charlton_en_1966_160.jpg,/media/players/bobby-charlton.webp,https://commons.wikimedia.org/wiki/File:Bobby_Charlton_en_1966_160.jpg,Public domain,Panini,FIGURINA CAMPIONI DELLO SPORT PANINI - SPORT INVERNALI RUSSELL,wikidata-commons,2026-07-03T00:30:03.115Z
brian-greenhoff,Brian Greenhoff,Q912274,ITA v ENG 1976 Greenhoff Causio.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/ITA_v_ENG_1976_Greenhoff_Causio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/ITA_v_ENG_1976_Greenhoff_Causio.jpg/330px-ITA_v_ENG_1976_Greenhoff_Causio.jpg,/media/players/brian-greenhoff.webp,https://commons.wikimedia.org/wiki/File:ITA_v_ENG_1976_Greenhoff_Causio.jpg,Public domain,Unknown author Unknown author,Ansa,wikidata-commons,2026-07-03T00:30:03.115Z
brian-kidd,Brian Kidd,Q562532,Brian Kidd (cropped).JPG,https://upload.wikimedia.org/wikipedia/commons/1/1f/Brian_Kidd_%28cropped%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Brian_Kidd_%28cropped%29.JPG/330px-Brian_Kidd_%28cropped%29.JPG,/media/players/brian-kidd.webp,https://commons.wikimedia.org/wiki/File:Brian_Kidd_(cropped).JPG,CC BY-SA 3.0,Christophe95,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
brian-mcclair,Brian McClair,Q462105,Brian McClair mars 1992.JPG,https://upload.wikimedia.org/wikipedia/commons/9/92/Brian_McClair_mars_1992.JPG,https://upload.wikimedia.org/wikipedia/commons/9/92/Brian_McClair_mars_1992.JPG,/media/players/brian-mcclair.webp,https://commons.wikimedia.org/wiki/File:Brian_McClair_mars_1992.JPG,Public domain,my own picture,Øyvind Vik,wikidata-commons,2026-07-03T00:30:03.115Z
bruno-fernandes,Bruno Fernandes,Q4979316,Bruno Fernandes USMNT v Portugal Mar 31 2026-27 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Bruno_Fernandes_USMNT_v_Portugal_Mar_31_2026-27_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Bruno_Fernandes_USMNT_v_Portugal_Mar_31_2026-27_%28cropped%29.jpg/330px-Bruno_Fernandes_USMNT_v_Portugal_Mar_31_2026-27_%28cropped%29.jpg,/media/players/bruno-fernandes.webp,https://commons.wikimedia.org/wiki/File:Bruno_Fernandes_USMNT_v_Portugal_Mar_31_2026-27_(cropped).jpg,CC BY-SA 4.0,Bryan Berlin,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
bryan-robson,Bryan Robson,Q296583,Bryan Robson at the cliff -march 92 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Bryan_Robson_at_the_cliff_-march_92_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Bryan_Robson_at_the_cliff_-march_92_%28cropped%29.jpg,/media/players/bryan-robson.webp,https://commons.wikimedia.org/wiki/File:Bryan_Robson_at_the_cliff_-march_92_(cropped).jpg,CC BY-SA 4.0,Daehan,Own work,wikidata-commons,2026-07-03T00:30:03.115Z
caesar-jenkyns,Caesar Jenkyns,Q1025420,CaesarJenkyns.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/CaesarJenkyns.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/CaesarJenkyns.jpg/500px-CaesarJenkyns.jpg,/media/players/caesar-jenkyns.webp,https://commons.wikimedia.org/wiki/File:CaesarJenkyns.jpg,Public domain,Unknown author,"Soar, Phil; Martin, Tyler (1996) Arsenal: The Offical Illustrated History, 1886–1996 , London : Hamlyn, p. 34 ISBN : 9781856133128 .",wikidata-commons,2026-07-12T21:08:31.322Z
