player_id,name,bucket,position_label,position_qid,wikidata_id,source_id,retrieved_at
aaron-hulme,Aaron Hulme,DEF,defender,Q336286,Q4662108,wikidata-positions,2026-06-19T14:22:00.646Z
aaron-wan-bissaka,Aaron Wan-Bissaka,DEF,full-back,Q90173132,Q50137347,wikidata-positions,2026-06-19T14:22:00.646Z
adam-carson,Adam Carson,FWD,forward,Q280658,Q4678835,wikidata-positions,2026-06-19T14:22:00.646Z
adam-eckersley,Adam Eckersley,DEF,full-back,Q90173132,Q3234980,wikidata-positions,2026-06-19T14:22:00.646Z
adnan-januzaj,Adnan Januzaj,MID,wing half,Q8025128,Q14558450,wikidata-positions,2026-06-19T14:22:00.646Z
alan-brazil,Alan Brazil,FWD,forward,Q280658,Q2632690,wikidata-positions,2026-06-19T14:22:00.646Z
alan-davies,Alan Davies,MID,wing half,Q8025128,Q528966,wikidata-positions,2026-06-19T14:22:00.646Z
alan-foggon,Alan Foggon,FWD,forward,Q280658,Q23421,wikidata-positions,2026-06-19T14:22:00.646Z
alan-gowling,Alan Gowling,FWD,forward,Q280658,Q10397380,wikidata-positions,2026-06-19T14:22:00.646Z
alan-smith,Alan Smith,MID,midfielder,Q193592,Q216614,wikidata-positions,2026-06-19T14:22:00.646Z
albert-broome,Albert Broome,FWD,forward,Q280658,Q4709814,wikidata-positions,2026-06-19T14:22:00.646Z
albert-kinsey,Albert Kinsey,FWD,forward,Q280658,Q10455129,wikidata-positions,2026-06-19T14:22:00.646Z
albert-pape,Albert Pape,FWD,forward,Q280658,Q4710960,wikidata-positions,2026-06-19T14:22:00.646Z
albert-prince,Albert Prince,FWD,forward,Q280658,Q4711039,wikidata-positions,2026-06-19T14:22:00.646Z
albert-quixall,Albert Quixall,FWD,forward,Q280658,Q2635506,wikidata-positions,2026-06-19T14:22:00.646Z
albert-scanlon,Albert Scanlon,FWD,forward,Q280658,Q981695,wikidata-positions,2026-06-19T14:22:00.646Z
albert-smith,Albert Smith,FWD,forward,Q280658,Q4711234,wikidata-positions,2026-06-19T14:22:00.646Z
alejandro-garnacho,Alejandro Garnacho,FWD,winger,,Q111366053,curated,2026-06-19T14:22:00.646Z
alex-bell,Alex Bell,MID,wing half,Q8025128,Q3439401,wikidata-positions,2026-06-19T14:22:00.646Z
alex-dawson,Alex Dawson,FWD,forward,Q280658,Q4167327,wikidata-positions,2026-06-19T14:22:00.646Z
alex-downie,Alex Downie,MID,wing half,Q8025128,Q4155283,wikidata-positions,2026-06-19T14:22:00.646Z
alex-forsyth,Alex Forsyth,DEF,full-back,Q90173132,Q4491989,wikidata-positions,2026-06-19T14:22:00.646Z
alex-menzies,Alex Menzies,FWD,forward,Q280658,Q4717489,wikidata-positions,2026-06-19T14:22:00.646Z
alex-notman,Alex Notman,FWD,forward,Q280658,Q3436320,wikidata-positions,2026-06-19T14:22:00.646Z
alex-stepney,Alex Stepney,GK,goalkeeper,Q201330,Q380205,wikidata-positions,2026-06-19T14:22:00.646Z
alex-telles,Alex Telles,DEF,full-back,Q90173132,Q15214940,wikidata-positions,2026-06-19T14:22:00.646Z
alexander-buttner,Alexander Büttner,DEF,full-back,Q90173132,Q372709,wikidata-positions,2026-06-19T14:22:00.646Z
alexander-higgins,Alexander Higgins,DEF,full-back,Q90173132,Q4719132,wikidata-positions,2026-06-19T14:22:00.646Z
alexis-sanchez,Alexis Sánchez,MID,wing half,Q8025128,Q180553,wikidata-positions,2026-06-19T14:22:00.646Z
alf-ainsworth,Alf Ainsworth,FWD,inside forward,Q6037916,Q622406,wikidata-positions,2026-06-19T14:22:00.646Z
alf-edge,Alf Edge,FWD,inside forward,Q6037916,Q4721661,wikidata-positions,2026-06-19T14:22:00.646Z
alf-farman,Alf Farman,FWD,forward,Q280658,Q4481276,wikidata-positions,2026-06-19T14:22:00.646Z
alf-schofield,Alf Schofield,FWD,forward,Q280658,Q975787,wikidata-positions,2026-06-19T14:22:00.646Z
alf-steward,Alf Steward,GK,goalkeeper,Q201330,Q3436805,wikidata-positions,2026-06-19T14:22:00.646Z
