player_id,name,apps,starts,subs,goals,primary_shirt,primary_shirt_decade,primary_shirt_apps,recorded_assists,lineup_apps,lineup_starts,recorded_goals,record_source_id,record_source_url,record_stats_as_of,player_thumb_url,player_image_page_url,player_image_license,first_date,last_date
wayne-rooney,Wayne Rooney,559,497,62,253,10,2010s,413,55,162,144,253,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Wayne-Rooney-2015-10-21.jpg/330px-Wayne-Rooney-2015-10-21.jpg,https://commons.wikimedia.org/wiki/File:Wayne-Rooney-2015-10-21.jpg,CC BY-SA 3.0,2005-05-21,2017-05-24
bobby-charlton,Bobby Charlton,758,756,2,249,9,1960s,369,0,6,6,249,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Bobby_Charlton_en_1966_160.jpg/330px-Bobby_Charlton_en_1966_160.jpg,https://commons.wikimedia.org/wiki/File:Bobby_Charlton_en_1966_160.jpg,Public domain,1957-05-04,1968-05-29
denis-law,Denis Law,404,398,6,237,10,1960s,276,0,3,3,236,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Denis_Law.jpg/330px-Denis_Law.jpg,https://commons.wikimedia.org/wiki/File:Denis_Law.jpg,CC BY 2.0,1963-05-25,1967-08-12
jack-rowley,Jack Rowley,424,424,0,211,9,1940s,204,0,3,3,206,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Jack_Rowley.jpg/330px-Jack_Rowley.jpg,https://commons.wikimedia.org/wiki/File:Jack_Rowley.jpg,CC BY-SA 3.0 nl,1948-04-24,1952-09-24
george-best,George Best,470,470,0,179,11,1960s,247,0,3,3,178,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/George_Best_%281976%29.jpg/330px-George_Best_%281976%29.jpg,https://commons.wikimedia.org/wiki/File:George_Best_(1976).jpg,CC0,1965-08-14,1968-05-29
dennis-viollet,Dennis Viollet,293,293,0,179,10,1950s,179,0,2,2,178,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Dennis_Viollet_1957.jpg/330px-Dennis_Viollet_1957.jpg,https://commons.wikimedia.org/wiki/File:Dennis_Viollet_1957.jpg,Public domain,1957-10-22,1958-05-03
ryan-giggs,Ryan Giggs,963,802,161,168,11,2000s,936,9,50,36,168,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ryan_Giggs_in_2008.jpg/330px-Ryan_Giggs_in_2008.jpg,https://commons.wikimedia.org/wiki/File:Ryan_Giggs_in_2008.jpg,CC BY 2.0,1991-11-19,2014-05-06
joe-spence,Joe Spence,510,510,0,168,7,1920s,341,0,0,0,168,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,,,,1919-01-01,1933-12-31
mark-hughes,Mark Hughes,467,453,14,163,10,1990s,356,0,14,14,156,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/1_mark_hughes_2015.jpg/330px-1_mark_hughes_2015.jpg,https://commons.wikimedia.org/wiki/File:1_mark_hughes_2015.jpg,CC BY-SA 4.0,1985-05-18,1995-05-20
paul-scholes,Paul Scholes,718,577,141,155,18,2000s,613,1,24,19,155,wikipedia-player-records,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._players,2026-05-24,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/P_Scholes.jpg/330px-P_Scholes.jpg,https://commons.wikimedia.org/wiki/File:P_Scholes.jpg,CC BY 2.0,1995-05-20,2011-05-28
