season,competition_id,competition,competition_type,p,w,d,l,gf,ga,furthest_round,position,league_size
1886-87,fa-cup,FA Cup,domestic-cup,1,0,1,0,2,2,Round 1,,
1889-90,fa-cup,FA Cup,domestic-cup,1,0,0,1,1,6,Round 1,,
1892-93,fa-cup,FA Cup,domestic-cup,1,0,0,1,0,4,Round 1,,
1892-93,first-division,First Division,league,30,6,6,18,50,85,,16,16
1892-93,test-match,Test Match (promotion/relegation),playoff,2,1,1,0,6,3,,,
1893-94,fa-cup,FA Cup,domestic-cup,3,1,1,1,5,5,Round 2,,
1893-94,first-division,First Division,league,30,6,2,22,36,72,,16,16
1893-94,test-match,Test Match (promotion/relegation),playoff,1,0,0,1,0,2,,,
1894-95,fa-cup,FA Cup,domestic-cup,1,0,0,1,2,3,Round 1,,
1894-95,second-division,Second Division,league,30,15,8,7,78,44,,3,16
1894-95,test-match,Test Match (promotion/relegation),playoff,1,0,0,1,0,3,,,
1895-96,fa-cup,FA Cup,domestic-cup,3,1,1,1,4,7,Round 2,,
1895-96,second-division,Second Division,league,30,15,3,12,66,57,,6,16
1896-97,fa-cup,FA Cup,domestic-cup,4,2,1,1,9,5,Round 3,,
1896-97,second-division,Second Division,league,30,17,5,8,56,34,,2,16
1896-97,test-match,Test Match (promotion/relegation),playoff,4,1,1,2,3,5,,,
1897-98,fa-cup,FA Cup,domestic-cup,3,1,1,1,2,2,Round 2,,
1897-98,second-division,Second Division,league,30,16,6,8,64,35,,4,16
1898-99,fa-cup,FA Cup,domestic-cup,2,0,1,1,4,6,Round 1,,
1898-99,second-division,Second Division,league,34,19,5,10,67,43,,4,18
1899-00,second-division,Second Division,league,34,20,4,10,63,27,,4,18
1900-01,fa-cup,FA Cup,domestic-cup,2,0,1,1,1,7,Round 1,,
1900-01,second-division,Second Division,league,34,14,4,16,42,38,,10,18
1901-02,second-division,Second Division,league,34,11,6,17,38,53,,15,18
1902-03,fa-cup,FA Cup,domestic-cup,2,1,0,1,3,4,Round 2,,
1902-03,second-division,Second Division,league,34,15,8,11,53,38,,5,18
1903-04,fa-cup,FA Cup,domestic-cup,3,1,1,1,5,10,Round 2,,
1903-04,second-division,Second Division,league,34,20,8,6,65,33,,3,18
1904-05,second-division,Second Division,league,34,24,5,5,81,30,,3,18
1905-06,fa-cup,FA Cup,domestic-cup,4,3,0,1,17,6,Round 4,,
1905-06,second-division,Second Division,league,38,28,6,4,90,28,,2,20
1906-07,fa-cup,FA Cup,domestic-cup,2,0,1,1,3,4,Round 1,,
1906-07,first-division,First Division,league,38,17,8,13,53,56,,8,20
1907-08,charity-shield,FA Charity/Community Shield,super-cup,2,1,1,0,5,1,,,
