id,player_id,player,direction,date,date_precision,season,club,club_id,fee_gbp,fee_raw,fee_kind,market_value_eur,type
1883-10-01-edward-howles-in,edward-howles,Edward Howles,in,1883-10-01,month,1883-84,,,,£,unknown,,permanent
1883-12-01-heber-davies-in,heber-davies,Heber Davies,in,1883-12-01,month,1883-84,,,,£,unknown,,permanent
1884-10-01-james-gotheridge-in,james-gotheridge,James Gotheridge,in,1884-10-01,month,1884-85,,,,£,unknown,,permanent
1885-02-01-john-mitchell-in,john-mitchell,John Mitchell,in,1885-02-01,month,1884-85,Doncaster Rovers,doncaster-rovers,,£,unknown,,permanent
1885-03-01-a-longton-in,a-longton,A Longton,in,1885-03-01,month,1884-85,,,,£,unknown,,permanent
1885-03-01-john-earp-in,john-earp,John Earp,in,1885-03-01,month,1884-85,,,,£,unknown,,permanent
1885-09-01-robert-beckett-in,robert-beckett,Robert Beckett,in,1885-09-01,month,1885-86,,,,£,unknown,,permanent
1886-03-01-jack-powell-in,jack-powell,Jack Powell,in,1886-03-01,month,1885-86,Bolton Wanderers,bolton-wanderers,,£,unknown,,permanent
1886-09-01-john-jack-doughty-in,jack-doughty,Jack Doughty,in,1886-09-01,month,1886-87,Druids,druids,,£,unknown,,permanent
1886-09-01-joseph-davies-in,joe-davies,Joe Davies,in,1886-09-01,month,1886-87,Druids,druids,,£,unknown,,permanent
1886-09-01-thomas-burke-in,tom-burke,Tom Burke,in,1886-09-01,month,1886-87,Liverpool Cambrians,liverpool-cambrians,,£,unknown,,permanent
1886-11-01-a-longton-out,a-longton,A Longton,out,1886-11-01,month,1886-87,,,,£,unknown,,permanent
1886-11-01-edward-howles-out,edward-howles,Edward Howles,out,1886-11-01,month,1886-87,,,,£,unknown,,permanent
1886-12-01-herbert-dale-in,herbert-dale,Herbert Dale,in,1886-12-01,month,1886-87,Manchester FA,manchester-fa,,£,unknown,,permanent
1886-12-01-roger-doughty-in,roger-doughty,Roger Doughty,in,1886-12-01,month,1886-87,Druids,druids,,£,unknown,,permanent
1887-04-01-charles-harrison-in,,Charles Harrison,in,1887-04-01,month,1886-87,,,,£,unknown,,permanent
1887-04-01-charles-harrison-out,,Charles Harrison,out,1887-04-01,month,1886-87,,,,£,unknown,,permanent
1887-04-01-robert-beckett-out,robert-beckett,Robert Beckett,out,1887-04-01,month,1886-87,,,,£,unknown,,permanent
1887-08-01-charles-felton-in,charles-felton,Charles Felton,in,1887-08-01,month,1887-88,,,,£,unknown,,permanent
1887-08-01-john-jack-owen-in,,John Jack Owen,in,1887-08-01,month,1887-88,Chirk,chirk,,£,unknown,,permanent
1887-08-01-thomas-hay-in,,Thomas Hay,in,1887-08-01,month,1887-88,Burslem FC,burslem-fc,,£,unknown,,permanent
1888-04-01-heber-davies-out,heber-davies,Heber Davies,out,1888-04-01,month,1887-88,,,,£,unknown,,permanent
